Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_010,training,424.0,0.07346531820754716,0.0308221939930584,0.00747762,0.049866524999999995,0.07126205,0.09698365,0.18026099999999998,1.0,0.2358490566037736,
DYN_011,hilo,424.0,0.04968025875,0.020646199796017107,0.004472,0.035025425,0.04755415,0.06282094999999999,0.122485,2.0,0.4716981132075472,
DYN_011,rest,494.0,0.04743151491902834,0.020892660546325003,0.00540155,0.0320358,0.0452718,0.0602127,0.12928699999999999,8.0,1.6194331983805668,
DYN_011,task1,550.0,0.05021416249090909,0.029807345297214804,0.00634805,0.03139875,0.0450873,0.062056275,0.316618,20.0,3.6363636363636362,
DYN_011,task2,550.0,0.05987329014545455,0.03159025341672229,0.00970118,0.0374101,0.0536328,0.07537585000000001,0.23223000000000002,17.0,3.090909090909091,
DYN_011,training,424.0,0.051615653231132076,0.0260786080196031,0.00284571,0.033350674999999996,0.04710865,0.064092325,0.244468,9.0,2.1226415094339623,
DYN_012,hilo,424.0,0.07665321768867925,0.04060081732341665,0.0046655,0.0494241,0.0749371,0.09634715,0.507759,7.0,1.650943396226415,
DYN_012,rest,494.0,0.07620777493927126,0.03326958098262824,0.00607588,0.051678075000000004,0.0734987,0.0987151,0.241486,5.0,1.0121457489878543,
DYN_012,task1,550.0,0.07341000281818183,0.034316504951431695,0.00603315,0.04983217499999999,0.0701192,0.09337165,0.358272,7.0,1.2727272727272727,
DYN_012,task2,550.0,0.07248532201818182,0.08639493347890925,0.008094,0.038767724999999996,0.05842019999999999,0.07984607499999999,1.35212,36.0,6.545454545454546,
DYN_012,training,424.0,0.07466678801886792,0.039789665619420066,0.00262957,0.0465727,0.0724578,0.0961305,0.484946,5.0,1.179245283018868,
DYN_013,hilo,424.0,0.0763742558962264,0.026516425673683907,0.0173569,0.0569326,0.07477685,0.093636275,0.160565,3.0,0.7075471698113207,
DYN_013,rest,494.0,0.08166585182186234,0.025730260747679902,0.0193335,0.064391475,0.07985665,0.09618597499999999,0.193275,9.0,1.8218623481781377,
DYN_013,task1,550.0,0.07794149905454545,0.026427331262180238,0.00908488,0.058765,0.07629015,0.09567597500000001,0.179507,4.0,0.7272727272727273,
DYN_013,task2,550.0,0.07504005872727272,0.02733245036122454,0.0104506,0.055208625,0.0737892,0.092178875,0.222898,5.0,0.9090909090909091,
DYN_013,training,424.0,0.07839961816037735,0.027353582445943377,0.0186783,0.058874375,0.07436514999999999,0.09211277500000001,0.173771,13.0,3.0660377358490565,
DYN_014,hilo,424.0,0.17118290778301884,0.08687083725655143,0.05496990000000001,0.12183524999999998,0.15494650000000001,0.19410550000000001,0.871136,24.0,5.660377358490566,
DYN_014,rest,494.0,0.14188005748987853,0.04654994517013103,0.0490727,0.10773925,0.141102,0.171879,0.32157600000000003,5.0,1.0121457489878543,
DYN_014,task1,550.0,0.23456853509090914,0.21098885292101638,0.033731800000000006,0.14902425000000002,0.19466250000000002,0.2524135,2.99001,43.0,7.818181818181818,
DYN_014,task2,550.0,0.22772059254545457,0.13114117074159207,0.046710800000000004,0.14748175000000002,0.196245,0.264012,1.19725,32.0,5.818181818181818,
DYN_014,training,424.0,0.2609733103773585,0.3158837882768551,0.060963300000000005,0.14877275,0.19645200000000002,0.26204249999999996,3.61405,30.0,7.0754716981132075,
