Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_016,task1,550.0,49.268040363636366,6.782808265711634,37.0095,42.365025,51.15225,53.9328,83.2997,4.0,0.7272727272727273,
DYN_016,task2,550.0,43.483606,3.392826866685737,35.7094,40.886849999999995,43.76305,46.045700000000004,65.608,3.0,0.5454545454545454,
DYN_016,training,424.0,44.67541297169811,2.192704407597722,39.0792,43.5624,44.55145,45.628275,55.3461,12.0,2.830188679245283,
DYN_017,hilo,424.0,39.2708266509434,2.272687591587783,34.9378,37.67745,39.039550000000006,40.4188,53.2681,8.0,1.8867924528301887,
DYN_017,rest,494.0,36.51982692307691,3.3447785248697506,27.8342,34.6871,36.3441,37.832675,55.1794,24.0,4.8582995951417,
DYN_017,task1,550.0,38.05446836363637,2.544115920596157,32.6674,36.296625,37.67245,39.267224999999996,53.3747,16.0,2.909090909090909,
DYN_017,task2,550.0,37.01734745454546,2.876271811154495,29.0896,35.177425,36.8082,38.4612,50.5876,17.0,3.090909090909091,
DYN_017,training,424.0,37.55538797169812,2.483403850580804,31.1757,35.986475,37.37405,38.63855,49.8773,12.0,2.830188679245283,
DYN_018,hilo,424.0,44.36188797169812,4.5158223016225225,36.6525,41.17895,43.44275,46.970325,85.1549,4.0,0.9433962264150944,
DYN_018,rest,494.0,44.9354008097166,5.026426638115425,39.0813,42.212825,43.64675,45.773075000000006,84.6407,34.0,6.882591093117409,
DYN_018,task1,550.0,46.033477454545455,6.077583702513463,36.9577,42.342475,44.9662,48.463975000000005,97.219,20.0,3.6363636363636362,
DYN_018,task2,550.0,48.64191127272727,5.488264870164537,40.4854,45.327000000000005,47.39065,50.45912500000001,100.26899999999999,32.0,5.818181818181818,
DYN_018,training,424.0,44.83480754716981,4.336636579334208,37.3268,41.720725,44.1816,47.04237499999999,69.2197,9.0,2.1226415094339623,
DYN_019,hilo,424.0,34.690222877358494,2.5872590028484863,29.5868,32.650749999999995,34.540350000000004,36.12565,44.8354,9.0,2.1226415094339623,
DYN_019,rest,494.0,35.31250668016194,2.299353894613297,29.8085,33.608149999999995,35.2287,36.779125,49.1665,2.0,0.4048582995951417,
DYN_019,task1,550.0,32.73469563636364,3.0229331644692303,25.8442,30.696150000000003,32.56035,34.307275000000004,45.7445,10.0,1.8181818181818181,
DYN_019,task2,550.0,34.96723654545455,3.9467339317150896,26.8904,32.2146,34.3604,37.19385,50.8292,14.0,2.5454545454545454,
DYN_019,training,424.0,34.947084905660375,2.498856928201437,29.6237,33.118875,34.68585,36.430350000000004,44.7657,5.0,1.179245283018868,
DYN_020,hilo,424.0,50.52123773584906,4.616954859268241,42.2379,47.30445,50.64215,52.5092,81.669,15.0,3.5377358490566038,
DYN_020,rest,494.0,42.29962145748988,2.6889621574737084,36.146,40.558324999999996,42.43345,43.93445,58.2944,5.0,1.0121457489878543,
DYN_020,task1,550.0,43.56184381818182,5.705207903399233,33.8448,39.852475,42.28875,44.962824999999995,81.8896,41.0,7.454545454545454,
DYN_020,task2,550.0,42.068425272727275,7.127225770159937,29.2537,38.15955,41.1727,44.366675,81.5142,40.0,7.2727272727272725,
DYN_020,training,424.0,42.775906603773585,4.803216458788832,34.1545,39.3789,42.79715,44.48030000000001,87.2692,17.0,4.009433962264151,
DYN_021,hilo,424.0,41.93915849056604,2.8985629882584467,36.0736,40.210625,41.7154,43.232974999999996,74.417,4.0,0.9433962264150944,
DYN_021,rest,494.0,37.958498987854256,1.5894208496497093,33.3287,36.831725000000006,37.8406,38.925149999999995,44.9481,5.0,1.0121457489878543,
DYN_021,task1,550.0,45.71286418181818,2.306671313114963,40.5218,44.12822500000001,45.5877,47.048725,59.7459,9.0,1.6363636363636365,
DYN_021,task2,550.0,40.011394,2.2977613800669427,35.7196,38.286175,39.7727,41.313775,47.6743,13.0,2.3636363636363638,
DYN_021,training,424.0,40.36837617924529,2.209147751683733,34.7028,38.844575,40.339650000000006,41.772324999999995,48.8134,7.0,1.650943396226415,
DYN_022,hilo,424.0,37.19840943396226,3.90124854677234,29.1464,34.8691,37.10565,38.828675000000004,74.7736,7.0,1.650943396226415,
DYN_022,rest,494.0,37.97425870445343,1.6257323760117846,34.1475,36.8994,37.75375,38.8291,46.4639,14.0,2.834008097165992,
DYN_022,task1,550.0,39.48532363636364,2.067715207518645,33.8277,38.107525,39.2999,40.86875,46.571999999999996,4.0,0.7272727272727273,
DYN_022,task2,550.0,38.74426672727273,2.4115570142862484,33.6329,37.067775000000005,38.61995,40.164424999999994,51.9536,10.0,1.8181818181818181,
DYN_022,training,424.0,39.10708113207547,1.9119767357588002,34.0327,37.8727,39.11535,40.341225,45.3271,3.0,0.7075471698113207,
DYN_023,hilo,424.0,33.799574056603774,2.372306755982247,29.1448,32.347125,33.77185,34.88055,48.5522,12.0,2.830188679245283,
DYN_023,rest,494.0,36.85551963562753,2.8314454705855923,28.7982,35.282725,37.11945,38.716575,47.3346,4.0,0.8097165991902834,
DYN_023,task1,550.0,36.875196,4.4116136497257585,31.7317,34.98505,36.196,37.517525,90.1616,29.0,5.2727272727272725,
DYN_023,task2,550.0,37.46634109090909,3.0625090508267716,33.8304,35.779849999999996,36.7412,37.998825,56.4802,31.0,5.636363636363637,
DYN_023,training,424.0,38.31024457547169,3.4438689704385825,29.7629,37.2086,38.2732,39.334450000000004,69.4221,18.0,4.245283018867925,
